fund_name,company,activity,activity_original,translation_check
"HUNOSA EMPRESAS, S.A., S.M.E.","GRUPO NORDESTADA, S.L.",Services,Services,ok
GPF Capital|MCH Private Equity Investments,Grupo Pachá,"Industry of the ocio, hostelería and restaurants","Industry del ocio, hostelería y restaurants",review
Miura Partners,Grupo Saona,Grupo of restaurants based on comida mediterránea,Grupo de restaurants basado en comida mediterránea,review
Sociedad de Desarrollo de Navarra (SODENA),Grupo SIC Lázaro,Solutions of contrapesos and lastres for ascensores and machinery,Soluciones de contrapesos y lastres para ascensores y maquinaria,ok
Xesgalicia,Grupo Technology Arbinova SL,Services técnicos of ingeniería,Services técnicos de ingeniería,review
Talde Gestión,Grupo Tegor (Private Equity),"Products medicina natural, aesthetics, farmacéutica and dietética","Productos medicina natural, aesthetics, farmacéutica y dietética",review
Miura Partners,Grupo Tragaluz,Grupo of restaurants singulares,Grupo de restaurantes singulares,ok
Aurica Capital Desarrollo,Grupo Viatek,Instalaciones of Conectividad (optical fiber),Instalaciones de Conectividad (Fibra Óptica),ok
Suma Capital,Gunni & Trentino,Design and interior design for luxury homes and sale of exclusive furniture,Diseño e interiorismo para viviendas de lujo y venta de mobiliario exclusivo,ok
Enagás Emprende,H2Greem,Manufacturing and commercialization of generadores of hidrógeno by electrólisis,Manufacturing y comercialización de generadores de hidrógeno por electrólisis,review
Ourcrowd Iberia,Hailo,Semiconductors and Optics,Semiconductors and Optics,ok
Landon Investments,Haizea,Componentes eólicos,Componentes eólicos,review
Angels Capital,Hamelyn,Marketplace of product of segunda mano,Marketplace de producto de segunda mano,ok
Fundación Ship2B,Hannun,Social (furniture sustainable),Social (mobiliario sostenible),ok
PHI Asset Management Partners SGEIC SA,HD DAZA CORREDURÍA DE SEGUROS S.L.,Insurance brokerage company,Compañía de correduría de insurance,ok
Prosegur Tech Ventures,Hdiv (España),RASP cybersecurity technology for web application protection,Ciberseguridad: technology RASP para protección de aplicaciones web,ok
Alantra Private Equity,Health in Code,Genetic analysis,Análisis genéticos,ok
Tresmares Capital,Health-in-Code,Development of specialized diagnostic tests in genetic analysis,Desarrollo de pruebas diagnosticas especializadas en análisis genéticos,ok
Tikehau Investment Management (Sucursal en España),Heart of Porto,Reconversión of centro comercial a activo of uso mixto,Reconversión de centro comercial a activo de uso mixto,review
Enagás Emprende,Helioprod Premery SAS,Promoción of plantas of biogás,Promoción de plantas de biogás,review
Bolsa Social,Hemper,Fashion sustainable al service of the development social in Nepal,Moda sostenible al service del desarrollo social en Nepal,ok
"Nazca Capital, S.G.E.I.C., S.A.",Herbex,Food & Beverage,Food & Beverage,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Herpi Logistics,Warehouse/industrial-building equipment,Equipamiento de naves,ok
Elewit,Hesstec,Energy storage,Almacenamiento energético,ok
Whitehole,Hevo Group,Production of huevos and ovoproducts,Producción de huevos y ovoproducts,ok
Acurio Ventures,HeyTeam,Software que facilita the integración profesional of the new empleados,Software que facilita la integración profesional de los nuevos empleados,review
Sociedad Regional de Promoción del Principado de asturias (SRP),Hi Sharing Mobility S.L.,Car-sharing vehicle rental,Alquiler de vehículos compartidos,ok
Renertia Investment Company,Hidro Dañicalqui SPA,Activos Mini Hidro,Activos Mini Hidro,ok
Renertia Investment Company,Hidro Trilaleo SPA,Activos Mini Hidro,Activos Mini Hidro,ok
Alantra Private Equity,Hiperbaric,Manufacturer of machinery of procesado of alimentos by altas presiones,Fabricante de maquinaria de procesado de alimentos por altas presiones,ok
Kohlberg Kravis Roberts (España) Asesores,Hipoges,Business Services,Business Services,ok
GVC Gaesco,Hipoo Digital Loans,Financiación hipotecaria,Financiación hipotecaria,review
Gestión de Capital Riesgo del País Vasco,Histocell,Biotechnology,Biotechnology,ok
Axon Partners Group,Holaluz,Transformación energética,Transformación energética,review
Suma Capital,Homs Rentals,Construction machinery rental,Alquiler de maquinaria para construction,ok
HCapital,Hooked,Manufacturing and distribution of ovillos of material reciclado for hacer punto,Manufacturing y distribución de ovillos de material reciclado para hacer punto,ok
4Founders Capital,Hoop Carpool,Plataforma que pone in contacto a personas so that compartan coche entre sí,Plataforma que pone en contacto a personas para que compartan coche entre sí,review
Athos Capital,Hosco,Platform for recruitment specialized in the industry of turismo and hostelería,Plataforma de recruitment especializada en la industry de turismo y hostelería,review
Torsa Capital,"Hospitality Connection, S.A.",Plataforma recruitment,Plataforma recruitment,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),Hostelería Asturiana S.A.,Hospitality,Hospitality,ok
Cinven Spain,Hotelbeds,Bedbank,Bedbank,ok
Institut Catalá de Finances Capital (ICF)|Seaya,Housfy,Agencia inmobiliaria online,Agencia inmobiliaria online,ok
EDP Ventures España,HSL,Technology aplicada al transporte of H2,Technology aplicada al transporte de H2,ok
Sherpa Capital Entidad Gestora SGEIC,Hugworld,Scenting/Ambience,Scenting/Ambience,ok
Enagás Emprende,HYGEN,Promoción of proyectos of infrastructures innovadoras of gas natural vehicular,Promoción de proyectos de infrastructures innovadoras de gas natural vehicular,review
Portobello Capital Gestión,IAN,Food & Beverage,Food & Beverage,ok
Portobello Capital Gestión,Iberconsa,Food & Beverage,Food & Beverage,ok
Abac Capital,Iberfrasa,Manufacturer of products of higiene personal and cleaning of the home,Fabricante de products de higiene personal y cleaning del home,ok
MCH Private Equity Investments,Iberian Premium Fruits,Production of cítricos premium,Producción de cítricos premium,review
FIT Inversión en Talento,Icired,Fintech,Fintech,ok
"Murcia Emprende, S.C.R., S.A.",ICONIC Solutions - INBENTUS,Health. Respiradores,Health. Respiradores,ok
BeAble Capital,"Iconic Solutions By Murcia, S.L.","Prototipado, development and comercial of material médico","Prototipado, desarrollo y comercial de material médico",review
Cinven Spain|EQT Partners Spain,Idealista,Technology,Technology,ok
Demeter Investment Managers,IES,Sustainable Mobility,Sustainable Mobility,ok
K Fund,If Returns,Technology,Technology,ok
True Global Ventures,Ikonia,NFT solutions,NFT solutions,ok
Riverside España Partners,Il Pastaio di Brescia,Productor of ñoquis a base of patata frescas,Productor de ñoquis a base de patata frescas,review
Cardumen Capital,ILLUMEX,Big data Analytics,Big Data Analytics,ok
Caixa Capital Risc,IMMFLY SL,ICT,ICT,ok
HIG Capital,Impactmedia,Publicidad exterior in centers comerciales,Publicidad exterior en centers comerciales,ok
Angels Capital,Imperia SCM,"Software of planificación of demanda, production and compras","Software de planificación de demanda, producción y compras",review
Landon Investments,Imperial Dade,Foodservice packaging & Janitorial sanitation,Foodservice packaging & Janitorial sanitation,ok
Artá capital,In-Store Media,Proveedor of services of publicidad in punto of venta,Proveedor de services de publicidad en punto de venta,review
Q-Impact,Inagroup,Biofertilizantes,Biofertilizantes,ok
Ysios Capital Partners,Inbiomotion,Development of a diagnostic test applicable to breast cancer,Desarrollo de un test de diagnostico aplicable en cáncer de mama,ok
Institut Catalá de Finances Capital (ICF),Inbiomotion SL,Services - Biotechnology,Services - Biotechnology,ok
Sociedad de Desarrollo de Navarra (SODENA),inBiot,Solutions for medición calidad of the aire,Soluciones para medición calidad del aire,review
Asabys Partners,Inbrain,Development of graphene devices for neuronal electronic modulation,Desarrollo de dispositivos de grafeno para la modulación electrónica neuronal,ok
Institut Catalá de Finances Capital (ICF),Inbrain Neuroelectronics SL,Services - Biotechnology,Services - Biotechnology,ok
Bewater Asset Management,Indemniza.me,Management of casos judiciales,Gestión de casos judiciales,ok
Acurio Ventures,Indexa Capital,Gestor automatizado of fondos indexados,Gestor automatizado de fondos indexados,ok
Tresmares Capital|Miura Partners,Indiba,Leader global in treatments by radiofrecuencia,Líder global en tratamientos por radiofrecuencia,ok
GVC Gaesco,Industryl Shields,Solutions Industryles Open Source,Soluciones Industryles Open Source,ok
Angels Capital,Inespay,Pasarela of pago by transferencia bancaria online,Pasarela de pago por transferencia bancaria online,ok
Repsol Energy Ventures,Ingelia,Production of biocarbón a partir of waste of biomasa,Producción de biocarbón a partir de residuos de biomasa,review
EIT Innoenergy,INGELIA,Technology for transformar waste orgánicos in bioproducts,Technology para transformar residuos orgánicos en bioproducts,review
Innova Venture,Ingeniatrics,Production and services in technologys microfluídicas,Producción y services en technologys microfluídicas,review
FIT Inversión en Talento,Inlab Digital,Adtech,Adtech,ok
Torsa Capital,Innogando,AgroTech,AgroTech,ok
Clave Mayor,"Innoprick, S.L.",Medical devices and solutions for allergology,Dispositivos médicos y soluciones para alergología,ok
Fundación Ship2B,Innovahealth,Healthcare (rehabilitación manos),Healthcare (rehabilitación manos),review
Iberdrola Ventures - Perseo,Innowatts,Data analytics and artificial intelligence for the digital utility of the future,Data analytics e inteligencia artificial para la utility digital del futuro,ok
Xesgalicia,"Inprosec Auto, S.L.",Investigación científica and técnica,Investigación científica y técnica,review
GVC Gaesco,Insectius,Insecticultura through technology,Insecticultura a través de technology,ok
Gawa Capital Partners,Insotec,Agro Microlending,Agro Microlending,ok
Athos Capital,Inspide,Platform for análisis of data geoespaciales,Plataforma de análisis de datos geoespaciales,review
Acurio Ventures,Instacarro,Platform for comprasale of coches usados,Plataforma de compraventa de coches usados,ok
Renertia Investment Company,"Instalación Fotovoltaica Arericsol VIII, S.L.",Photovoltaic power generation,Photovoltaic power generation,ok
Adara Ventures,IntelexVision,Security IoT,Security IoT,ok
Gestión de Capital Riesgo del País Vasco,Intelligent delivery (hapiick),Logistics inteligente,Logistics inteligente,ok
Portobello Capital Gestión,Interal,Manufacturing of alimentos deshidratados and líquidos,Manufacturing de alimentos deshidratados y líquidos,review
DeA Capital Alternative Funds Sucursal España,International Food,Production of plant-based beverages,Elaboración de bebidas plant-based,ok
Angels Capital,Internxt,Software of almacenamiento cloud,Software de almacenamiento en la nube,ok
Sherpa Capital Entidad Gestora SGEIC,Inurba Mobility,Concesiones,Concesiones,ok
Sherpa Capital Entidad Gestora SGEIC,INV,Seguridad,Seguridad,ok
Torsa Capital|Unirisco,Inverbis,Analytics SaaS of Process Mining & Value Stream Mining,Analytics SaaS de Process Mining & Value Stream Mining,ok
"HUNOSA EMPRESAS, S.A., S.M.E.","INVERSIONES TURISTICAS DEL ORIENTE, S.L.",Formación in turismo and hostelería,Formación en turismo y hostelería,review
4Founders Capital,Invofox,"Extracción, procesado and estructuración of data of documentos","Extracción, procesado y estructuración de datos de documentos",review
Ares Management,IO Clinicas,Dentales,Dentales,ok
FIT Inversión en Talento,Iobuilders,Consultoría blockchain,Consultoría blockchain,review
Adara Ventures,Iomed,Digital Health,Digital Health,ok
True Global Ventures|Creas Impacto Global SGEIC,IOMOB,Mobility-as-a-service,Mobility-as-a-service,ok
Caixa Capital Risc,IPRONICS PROGRAMMABLE PHOTONICS SL,ICT,ICT,ok
FIT Inversión en Talento,Irisbond,Eye-tracking medical devices,Eye-tracking medical devices,ok
Gestión de Capital Riesgo del País Vasco,Irisbond crowdbonding,Sistemas of eye tracking,Sistemas de eye tracking,ok
Swanlaab Venture Factory,IriusRisk,Cybersecurity,Cybersecurity,ok
JME Venture Capital,Ironhack,Formación,Formación,review
Creas Impacto Global SGEIC,IRONHACK,Formación in habilidades digitales,Formación en habilidades digitales,review
Acurio Ventures,Ironhack,"Courses and bootcamps in web development, UX/UI design, data and cybersecurity","Cursos y bootcamps en desarrollo web, diseño UX/UI, datos y ciberseguridad",ok
Tresmares Capital,ISFA,Proyectos of cultivo superintensivo of almendros in Spain and Portugal,Proyectos de cultivo superintensivo de almendros en Spain y Portugal,ok
Tikehau Investment Management (Sucursal en España),Isotrol,Software digitalización sector energético,Software digitalización sector energético,review
Miura Partners,Italcer,Grupo leader europeo in the sector cerámico,Grupo leader europeo en el sector cerámico,review
Kohlberg Kravis Roberts (España) Asesores,IVI-RMA,Healthcare,Healthcare,ok
Cardumen Capital,IVIX,Big data Analytics,Big Data Analytics,ok
Tresmares Capital,Jaama (UK),Software of management of flotas of vehículos,Software de gestión de flotas de vehículos,review
MCH Private Equity Investments,Jeanología,Manufacturing of machinery for industry textil,Manufacturing de maquinaria para industry textil,ok
Acurio Ventures,JobandTalent,Plataforma digital of empleo enfocada in trabajo temporal,Plataforma digital de empleo enfocada en trabajo temporal,ok
Corpfin Capital,JR Sabater,Productor of vinagres and siropes,Productor de vinagres y siropes,ok
EDP Ventures España,Jungle.ai,IA for the rendimiento predictivo of the machinery,IA para el rendimiento predictivo de la maquinaria,ok
Xesgalicia,K Fund II FCRE,Venture capital fund,Venture capital fund,ok
Cardumen Capital,KAHOONA,Adtech,Adtech,ok
Ysios Capital Partners,Kala Pharmaceuticals (NASDAQ: KALA),Treatment of diseases oculares como the ojo seco,Tratamiento de enfermedades oculares como el ojo seco,ok
Athos Capital,Kaleidos,Tools of Project management and design UI,Herramientas de Project management y diseño UI,ok
Axon Partners Group,Kampaoh,Platform for campings,Plataforma de campings,ok
Samaipata,Karmen,Technology platform,Technology platform,ok
Bullnet Capital,KDPOF,Development of chips for communications over plastic optical fiber,Desarrollo de chips para comunicaciones a través de fibra óptica de plástico,ok
Bullnet Capital,KDROC,Comunicaciones multigiga sobre optical fiber,Comunicaciones multigiga sobre fibra óptica,ok
Bewater Asset Management,Kenmei,Service a operadores of telecommunications in the mejora of eficiencia of networks,Service a operadores de telecommunications en la mejora de eficiencia de redes,ok
Xesgalicia,Kibo Ventures Iberian Fund III FCRE,Venture capital fund,Venture capital fund,ok
Corpfin Capital,Kids & Us,English learning centers for children,Centers de enseñanza de inglés para niños,ok
Gawa Capital Partners,Kinara Capital,Microfinance,Microfinance,ok
GVC Gaesco,Kintai Digital,Cash advances for SMEs and self-employed professionals,Anticipos de caja para Pymes y Autónomos,ok
Institut Catalá de Finances Capital (ICF),Kintai Digital SL,TIC - Fintech,TIC - Fintech,ok
Caixa Capital Risc,KIT AR LIMITED,ICT,ICT,ok
Vigo Activo,Kiwi Atlántico Fincas,Production of kiwis,Producción de kiwis,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Kiwis La Rodriga, S.A.",Plantación of kiwis,Plantación de kiwis,review
Samaipata,Klarys,Technology platform,Technology platform,ok
Axon Partners Group,Klik,Marketplace based on IA,Marketplace basado en IA,ok
Caixa Capital Risc,Knowledge Development for POF SL,ICT,ICT,ok
Creas Impacto Global SGEIC,KOA HEALTH,Technology for Mental Health,Technology para Mental Health,ok
Asabys Partners,Koa Health,Proveedor of solutions integradas in Healthcare digital,Proveedor de soluciones integradas en Healthcare digital,ok
Samaipata,Komon,Technology platform,Technology platform,ok
Buenavista Equity Partners,Kushki,Platform for pagos digitales,Plataforma para pagos digitales,ok
Ysios Capital Partners,Kynexis,Development of precision treatments for brain diseases,Desarrollo de tratamientos de precisión para enfermedades cerebrales,ok
Bolsa Social,La Casa de la Aldea,E-commerce for rural products,E-commerce de products rurales,ok
Proa Capital de Inversiones,La Casa de las Carcasas,Sale of accesorios mobilees,Venta de accesorios móviles,ok
Unigrains,La Finca,Beef,Carne de vacuno,ok
HIG Capital,La Florida Business Park,Offices,Oficinas,ok
Nexxus Iberia,La Margarita,Food & Beverage,Food & Beverage,ok
Tikehau Investment Management (Sucursal en España),La Vie Porto,Reconversión of centro comercial a activo of uso mixto,Reconversión de centro comercial a activo de uso mixto,review
BeAble Capital,"Laboratorio Print3D Solutions CLM, S.L.","Prototipado, development and comercial","Prototipado, desarrollo y comercial",ok
"Nazca Capital, S.G.E.I.C., S.A.",Laboratorios Almond,Food & Beverage Ecológica,Food & Beverage Ecológica,review
Sherpa Capital Entidad Gestora SGEIC,Laboratorios Forenqui,Care and higiene personal,Care e higiene personal,ok
GVC Gaesco,Lactapp,App dedicated to breastfeeding and maternity,App dedicated to la lactancia y maternidad,ok
Realza Capital,Lakmé Cosmetics,Cosmetics capilar profesional,Cosmética capilar profesional,ok
CVC Capital Partners,LaLiga,Deportes,Deportes,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Laminados del Principado,Laminación of zinc,Laminación de zinc,review
Swanlaab Venture Factory,Landbot,Nocode and chatbot,Nocode and chatbot,ok
Diana Capital,Lappí Etiquetas,Manufacturing of etiquetas,Manufacturing de etiquetas,ok
Acurio Ventures,Last.app,Software of management and service a restaurants,Software de gestión y service a restaurantes,ok
Athos Capital,Latostadora,Marketplace of prendas customizables,Marketplace de prendas customizables,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Laura de Olga,Design joyeria,Diseño joyeria,ok
Ysios Capital Partners,Lava therapeutics (NASDAQ: LVTX),Platform for treatment oncológico,Plataforma para tratamiento oncológico,review
Clave Mayor,Leadartis,Development of therapeutic antibodies,Desarrollo de anticuerpos terapéuticos,ok
Torsa Capital,"Lean Lemon, S.L.",ICT,ICT,ok
Bullnet Capital,LeanXcale,Ultra-scalable database and transactional processing,"Base de datos ultraescalable, procesamiento transaccional",ok
GVC Gaesco,Learning Bits,Edtech,Edtech,ok
Swanlaab Venture Factory,Leemons,Learning Experience Platform,Learning Experience Platform,ok
Tikehau Investment Management (Sucursal en España),Legalitas,Services legales,Services legales,ok
Portobello Capital Gestión,Legálitas,Plataforma tecnológica of services jurídicos,Plataforma tecnológica de services jurídicos,review
Torsa Capital,Legalmit,LegalTech,LegalTech,ok
Angels Capital,Legit Health,Herramienta clínica dermatológica,Herramienta clínica dermatológica,review
Samaipata,Legl,Technology platform,Technology platform,ok
Ourcrowd Iberia,Lemonade,Fintech/Insuretech,Fintech/Insuretech,ok
K Fund,Lend,Technology,Technology,ok
Cardumen Capital,LENDAI,AI,Artificial Intelligence,ok
GVC Gaesco,Leroomservice,Outsourcing of services of services of habitaciones for hotels,Outsourcing de services de services de habitaciones para hotels,ok
HCapital,Libattion AG,Technology,Technology,ok
Axon Partners Group,Libelium,Internet of Things,Internet of Things,ok
Tresmares Capital,Libnova,Company specialized in digital preservation solutions,Compañía especializada en soluciones de preservación digital,ok
Bewater Asset Management,Lico Cosmetics,Laboratorio of cosmetics,Laboratorio de cosmética,ok
Acurio Ventures,Lime,Services of micro-mobileidad,Services de micro-movilidad,ok
Sabadell Venture Capital|JME Venture Capital|Acurio Ventures|Athos Capital,Lingokids,App for children to learn English,App para que niños puedan aprender inglés,ok
Q-Impact,Linkia FP,Formación Profesional,Formación Profesional,review
Clave Mayor,"Linqcase Industryl Solutions, SL",Software for procesos industriales,Software para procesos industryles,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Liquid Games, S.L.",Video-game publishing,Edición de videojuegos,ok
Torsa Capital,Lisa Mobile,Insurance,Insurance,ok
MCH Private Equity Investments|Realza Capital,Litografía Alavesa,Litografía and barnizado of packaging and cierres metálicos,Litografía y barnizado de envases y cierres metálicos,review
HCapital,Lival,Packaging and honeycomb paper,Embalaje y papel panal,ok
Fundación Ship2B,Livelink Ventures,Climate-related motorcycle locator/alarm app,Clima (localizador / alarma para motos),ok
PHI Asset Management Partners SGEIC SA,"LLADRÓ, S.A.","Manufacturing esculturas of ceramics, porcelana, loza and similares","Manufacturing esculturas de ceramics, porcelana, loza y similares",ok
Unigrains,Llusar,Citrus,Citrus,ok
Institut Catalá de Finances Capital (ICF),Lodgify,TIC - Traveltech,TIC - Traveltech,ok
Ardian Spain|MCH Private Equity Investments,Logalty,Contratación electronics,Contratación electrónica,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Lonja Gijón-Musel, S.A.",Lonja Puerto Gijón,Lonja Puerto Gijón,review
Acurio Ventures,Lookiero,Personal shopper online for mujeres,Personal shopper online para mujeres,ok
Cardumen Capital,LOOPS,AI,Artificial Intelligence,ok
EDP Ventures España,LOQR,Platform for management of identidades unificada,Plataforma de gestión de identidades unificada,ok
HCapital,loqr,Platform for identificación personal and management of identidad,Plataforma para identificación personal y gestión de identidad,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Lovelybikes, S.L.","Manufacturing and sale of bicicletas, sus accesorios and componentes","Manufacturing y venta de bicicletas, sus accesorios y componentes",ok
Sherpa Capital Entidad Gestora SGEIC,Lude,Gyms,Gyms,ok
Fundación Ship2B,LulaCare Holding,Social/Healthcare (higiene bucodental in residencias),Social / Healthcare (higiene bucodental en residencias),ok
Sherpa Capital Entidad Gestora SGEIC,Luxiona,Iluminación,Iluminación,review
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",MADLAB Oviedo,Recreational and entertainment activities,Actividades Recreativas y de Entretenimiento,ok
HIG Capital,Madrid Content City,Audiovisual production center,Centro de Producción Audiovisual,ok
HIG Capital,Madrid Resi Portfolio,Plataforma residential,Plataforma residencial,ok
Renertia Investment Company,Magec de Abona S.L.,Photovoltaic power generation,Photovoltaic power generation,ok
4Founders Capital,Magma,Multiplayer creation tools for artistic teams,Creación multijugador para equipos artísticos,ok
Bewater Asset Management,Mailtrack,Service of tracking of email for gmail,Service de tracking de email para gmail,ok
Ona Capital Privat,Manesun Solar,Photovoltaic solar plant,Photovoltaic solar plant,ok
Acurio Ventures,Manual,Plataforma online dedicated tol bienestar and a Healthcare of the hombres,Plataforma online dedicated tol bienestar y a Healthcare de los hombres,ok
"Murcia Emprende, S.C.R., S.A.",Marketing Activo Inteligente,Fidelización clientes: comercio urbano and Centers Comerciales,Fidelización clientes: comercio urbano y Centers Comerciales,review
PHI Asset Management Partners SGEIC SA,"MASCIONI, S.P.A.",Manufacturing textil,Manufacturing textil,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Maser Spain,Food & Beverage,Food & Beverage,ok
Ona Capital Privat,Maskokotas,Retail,Retail,ok
Kohlberg Kravis Roberts (España) Asesores,Masmovil,TMT,TMT,ok
Cinven Spain,MasOrange,Operador of telecommunications,Operador de telecommunications,ok
Kohlberg Kravis Roberts (España) Asesores,Master D,Education,Education,ok
Samaipata,Matera,Technology platform,Technology platform,ok
BeAble Capital,Materials Invisible To Oxygen S.L.,Energy & Environment,Energy & Environment,ok
Alantra Private Equity,MD Moldes,Manufacturer of moldes and componentes plastics,Fabricante de moldes y componentes plásticos,ok
Caixa Capital Risc,MEALFOOD EUROPE SL,Industrial,Industryl,ok
Proa Capital de Inversiones,Mecanizaciones Aeronautica,Manufacturing of piezas and assembly of conjuntos for the industry aeronautics,Manufacturing de piezas y montaje de conjuntos para la industry aeronáutica,ok
Sociedad para el Desarrollo Industryl de Aragón (SODIAR),Mecanus,Transformación metálica,Transformación metálica,review
Asabys Partners,Medasense,Development of technology that monitors pain in sedated patients,Desarrollo de una technology que monitoriza el dolor en pacientes sedados,ok
Sociedad de Desarrollo de Navarra (SODENA)|FIT Inversión en Talento,Medibiofarma,Biopharmaceuticals,Biopharmaceuticals,ok
Realza Capital,Medical Plants,Cultivo cannabis medicinal,Cultivo cannabis medicinal,ok
Portobello Capital Gestión,Mediterránea,Catering Hospitalario,Catering Hospitalario,ok
Corpfin Capital,Mediterráneo,Property management,Administración de finca,ok
Ysios Capital Partners,MedLumics,Tomografia of coherencia optica,Tomografia de coherencia optica,ok
Asabys Partners,Medlumics,Design and development of a cardiac ablation catheter,Diseño y desarrollo de un cateter de ablación cardiaca,ok
Caixa Capital Risc,MEDLUMICS SL,BIO,BIO,ok
Gawa Capital Partners,MEGA,SMEs Microlending,SMEs Microlending,ok
Xesgalicia,"Mejillones Sabor de Mar, S.L.",Shellfish cooking and prepared-food production,Cocción de moluscos y elaboración de products precocinados,ok
Whitehole,MEK Group,Mecanizado of piezas of alta precisión for automotive,Mecanizado de piezas de alta precisión para automotive,review
Suma Capital,Mengual,Distributor of specialized hardware fittings for wood,Distribuidor de ferretería especializada en herrajes para madera,ok
Q-Impact,Menorca Renovables,Proyectos solares hibridados,Proyectos solares hibridados,ok
Acurio Ventures,Mentorshow,Clases educativas impartidas by celebridades,Clases educativas impartidas por celebridades,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Mercados Centrales de Abastecimiento de Asturias, S.A. (MERCASTURIAS)",Comercio mayorista,Comercio mayorista,ok
Bewater Asset Management,MESbook,Software of management of fábricas,Software de gestión de fábricas,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Método R Cosméticos, S.L.",Development and sale of cosmetic products based on nanotechnology,Desarrollo y venta de products cosméticos basados en nanotechnology,ok
Axon Partners Group,Metricool,Programa informático for the management of networks sociales,Programa informático para la gestión de redes sociales,review
Tresmares Capital,Metrodora,Grupo educativo especializado in Healthcare and deporte,Grupo educativo especializado en Healthcare y deporte,ok
Gawa Capital Partners,Microserfin,Agro Microlending,Agro Microlending,ok
Acurio Ventures,Microverse,Escuela online of desarrolladores of software of países emergentes,Escuela online de desarrolladores de software de países emergentes,review
GVC Gaesco,MIM Habits,Pan ecológico with complementos pósbioticos,Pan ecológico con complementos pósbioticos,review
Ysios Capital Partners,Mineralys Therapeutics (NASDAQ: MLYS),Treatment of the hipertensión resistente,Tratamiento de la hipertensión resistente,review
Ysios Capital Partners,Minoryx Therapeutics,Development of drugs for genetic orphan diseases,Desarrollo de fármacos en el área de enfermedades huérfanas de origen genético,ok
Caixa Capital Risc,MINORYX THERAPEUTICS SL,BIO,BIO,ok
Sabadell Venture Capital,Mitiga,Supercomputación for predecir and mitigar the impacto of the peligros atmosféricos,Supercomputación para predecir y mitigar el impacto de los peligros atmosféricos,review
umgi,Miura Fund IV,Inversiones,Inversiones,ok
"Murcia Emprende, S.C.R., S.A.",MIX PAK System SL,Packaging especializado. cosmetics and Food & Beverage,Packaging especializado. Cosmética y Food & Beverage,ok
Fundación Ship2B,MJN Neuroserveis,Medical Device (predicción crisis epilépticas),Medical Device (predicción crisis epilépticas),review
Clave Mayor,Moa Biotech SL,Food & Beverage sustainable,Food & Beverage sostenible,ok
Sociedad de Desarrollo de Navarra (SODENA),MOA Foodtech,Development ingredients healthys,Desarrollo ingredients Healthcareables,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Mobentis Multisoft, S.L.",Solutions mobilees of management companyrial,Soluciones móviles de gestión empresarial,ok
Caixa Capital Risc,MOBILE LEAN SL,Industrial,Industryl,ok
MCH Private Equity Investments,Molecor,Water pipelines,Canalizaciones de agua,ok
BeAble Capital,Molecular gate,"Prototipado, development and comercial of material antifalsificación","Prototipado, desarrollo y comercial de material antifalsificación",review
Torsa Capital,Mollitiam,Ciberinteligencia,Ciberinteligencia,ok
Landon Investments,MonBake,Masas congeladas,Masas congeladas,ok
Torsa Capital,Monkey Markets S.L,ICT,ICT,ok
Riverside España Partners,Montel,Proveedor of información sobre the mercado of the energy,Proveedor de información sobre el mercado de la energy,review
Iberdrola Ventures - Perseo,Morgan Solar,Concentrated photovoltaic solar energy (CPV),Energy solar fotovoltaica de concentración (CPV),ok
Abac Capital,Motocard,Retailer omnicanal of accesorios and ropa of moto,Retailer omnicanal de accesorios y ropa de moto,ok
Caixa Capital Risc,MOVIL ACCESS SL -ZINKLAR-,ICT,ICT,ok
Proa Capital de Inversiones,Moyca,Production and commercialization of uva fina of mesa sin pepita,Producción y comercialización de uva fina de mesa sin pepita,ok
Realza Capital,Mr. Wonderful,Gifts and stationery,Artículos de regalo y papelería,ok
Landon Investments,MT Helmets,Motorcycle helmets,Cascos para motocicletas,ok
Gestión de Capital Riesgo del País Vasco,Muebles y maderas nueva linea,Manufacturing furniture,Manufacturing furniture,ok
Gestión de Capital Riesgo del País Vasco,Multiverse Computing,Fintech,Fintech,ok
Clave Mayor,Multiverse computing SL,Quantum computing for the financial industry,Computación cuántica para industry financiera,ok
Cardumen Capital,MUNCH,AI,Artificial Intelligence,ok
Swanlaab Venture Factory,Mysphera,IoT/Healtech,IoT/Healtech,ok
Sabadell Venture Capital,MySphera,Plataforma IoT for the optimización of the recursos of the Hospitales,Plataforma IoT para la optimización de los recursos de los Hospitales,review
Innova Venture,N-Life,Development of treatments for nervous-system diseases,Desarrollo de tratamientos de enfermedades del sistema nervioso,ok
